"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Fgd3",1.92512694373698e-45,0.256774183562761,0.678,0.445,8.81092099609542e-41,"Fgd3"
"Cyp46a1",2.62447850581793e-45,0.264613232376802,0.97,0.851,1.20117132254275e-40,"Cyp46a1"
"Afap1",2.90607013938227e-45,0.274889344503332,0.951,0.842,1.33005018139248e-40,"Afap1"
"Arid4a",6.12872801004062e-45,0.288880758697555,0.954,0.876,2.80499623563539e-40,"Arid4a"
"Atp13a3",8.79427839581889e-45,0.252081332924691,0.92,0.802,4.02496533619839e-40,"Atp13a3"
"Snph",9.00284047318082e-45,0.344908816795993,0.961,0.906,4.1204200277654e-40,"Snph"
"Ralgapa2",9.1789164180223e-45,0.343792374618999,0.945,0.891,4.20100646620045e-40,"Ralgapa2"
"Arhgap21",1.70853837418346e-44,0.350347983691778,0.999,0.998,7.81963843096285e-40,"Arhgap21"
"Myo1b",2.22859436050285e-44,0.355652877366235,0.664,0.482,1.01998306691495e-39,"Myo1b"
"Sipa1l2",2.36012535181253e-44,0.254728228028798,0.856,0.673,1.08018217101756e-39,"Sipa1l2"
"Clec16a",3.99572994256443e-44,0.280292001748221,0.96,0.889,1.82876568011289e-39,"Clec16a"
"Nrg3",6.60296518356585e-44,0.356668485632309,0.997,0.989,3.02204510521442e-39,"Nrg3"
"Got1",1.32922946866517e-43,0.392775867676748,0.978,0.917,6.08361743218674e-39,"Got1"
"Stk39",2.41507360761095e-43,0.28950068961819,0.953,0.87,1.10533088873138e-38,"Stk39"
"Gm32647",5.09192642742812e-43,0.741414274099383,0.882,0.832,2.3304728873053e-38,"Gm32647"
"Mpp6",6.15896240257814e-43,0.326708881063794,0.949,0.868,2.81883391241196e-38,"Mpp6"
"Traf3",6.64742881867662e-43,0.265605418548523,0.927,0.775,3.04239522173192e-38,"Traf3"
"Mycbp2",9.76039056955218e-43,0.29118540089138,0.987,0.976,4.46713555587264e-38,"Mycbp2"
"March11",1.27903656386511e-42,0.278567769603262,0.809,0.621,5.85389454549785e-38,"March11"
"Vwa8",1.35088895025788e-42,0.293064627237321,0.918,0.816,6.18274854754027e-38,"Vwa8"
"Atp8b2",1.50592054572745e-42,0.269123590864699,0.873,0.72,6.8922971536854e-38,"Atp8b2"
"Wwox",1.53286516296253e-42,0.375940940606868,0.983,0.949,7.01561727784689e-38,"Wwox"
"Slit3",1.89072776034602e-42,0.429924746661911,0.702,0.575,8.65348281355168e-38,"Slit3"
"Arhgap26",1.99170094926626e-42,0.319635002705711,0.976,0.922,9.11561690460182e-38,"Arhgap26"
"Tmem25",2.53204400684867e-42,0.290137509688533,0.89,0.719,1.1588659010545e-37,"Tmem25"
"Lphn2",7.80486527491326e-42,0.434115610838293,0.645,0.493,3.5721307390223e-37,"Lphn2"
"Slc8a1",9.23918673032138e-42,0.397000941569964,0.963,0.873,4.22859098273349e-37,"Slc8a1"
"Sirpa",1.10958874791507e-41,0.250342342104651,0.946,0.811,5.07836578145768e-37,"Sirpa"
"Ube3a",1.15181548169633e-41,0.31932775167747,0.991,0.983,5.27162909662776e-37,"Ube3a"
"Ogdh",1.30151522212962e-41,0.306425156481976,0.974,0.933,5.95677486864287e-37,"Ogdh"
"Dennd5b",1.6609891930845e-41,0.295945355476266,0.974,0.926,7.60201533890913e-37,"Dennd5b"
"Trerf1",1.23469613312319e-40,0.270084108367648,0.943,0.877,5.6509572620782e-36,"Trerf1"
"Trps1",1.29885503650424e-40,0.770000716123644,0.74,0.613,5.94459973107261e-36,"Trps1"
"Abr",1.35417696482895e-40,0.282150506078819,0.99,0.974,6.19779713262916e-36,"Abr"
"St8sia4",4.25178137474584e-40,0.317367564933742,0.698,0.502,1.94595529959367e-35,"St8sia4"
"Adcy8",4.48179147364739e-40,0.295894672498501,0.925,0.785,2.05122632165894e-35,"Adcy8"
"Snx25",1.77169239038316e-39,0.277260677656096,0.895,0.762,8.10868173230564e-35,"Snx25"
"Fbxo18",3.09950160915456e-39,0.260677674571961,0.837,0.65,1.41857989647786e-34,"Fbxo18"
"Hs3st1",4.49444797610703e-39,0.280747047298104,0.612,0.413,2.05701894970466e-34,"Hs3st1"
"Nos1ap",9.86122701052318e-39,0.294201321505432,0.928,0.81,4.51328637817625e-34,"Nos1ap"
"Arid5b",1.4668053518539e-38,0.261773740922311,0.909,0.758,6.71327473436493e-34,"Arid5b"
"Ccdc184",1.78714373986614e-38,0.307769080461966,0.815,0.672,8.17939946861937e-34,"Ccdc184"
"Fam168a",2.76637598164785e-38,0.256404983788927,0.995,0.988,1.26611495928059e-33,"Fam168a"
"Macf1",1.04219075199784e-37,0.26873443368132,0.988,0.978,4.76989863374372e-33,"Macf1"
"Atrnl1",1.14606317764968e-37,0.459450078822341,0.963,0.931,5.24530195146704e-33,"Atrnl1"
"Filip1",2.30998433354025e-37,0.393182456303321,0.679,0.499,1.0572336297747e-32,"Filip1"
"Stxbp5l",7.81584059429402e-37,0.306837988359714,0.982,0.966,3.57715392319649e-32,"Stxbp5l"
"Ndrg4",1.27312988254701e-36,0.318184757690011,0.999,0.992,5.82686084644117e-32,"Ndrg4"
"Tll1",1.44821008624214e-36,0.290861877267076,0.375,0.203,6.62816792271301e-32,"Tll1"
"Xkr4",2.49703608012485e-36,0.338995798732665,0.983,0.972,1.14284347315154e-31,"Xkr4"
"Gpcpd1",3.85515981399683e-36,0.354528213604246,0.932,0.854,1.76442954367007e-31,"Gpcpd1"
"Tmx4",6.28503164116132e-36,0.341862611897879,0.982,0.949,2.87653328152671e-31,"Tmx4"
"Ntng1",7.44088149410977e-36,0.470812341237079,0.477,0.317,3.40554264222416e-31,"Ntng1"
"A830010M20Rik",7.57696528982809e-36,0.303024867082355,0.87,0.777,3.46782547384852e-31,"A830010M20Rik"
"Plcb1",1.0875020488121e-35,0.324140414365039,0.99,0.985,4.97727937700324e-31,"Plcb1"
"Ttc39b",1.66283849893892e-35,0.314356741278598,0.848,0.726,7.61047924194365e-31,"Ttc39b"
"Las1l",1.92464953595237e-35,0.256871050720896,0.924,0.827,8.80873599614679e-31,"Las1l"
"Rps6ka2",2.00592940836831e-35,0.302571338277395,0.913,0.812,9.18073771622006e-31,"Rps6ka2"
"Lsamp",2.72067201620248e-35,0.439962786206054,0.995,0.985,1.24519716837555e-30,"Lsamp"
"Tmem108",2.90892478991438e-35,0.761459903348652,0.727,0.641,1.33135669784801e-30,"Tmem108"
"Astn2",3.61089991726432e-35,0.428798077565906,0.97,0.925,1.65263667413353e-30,"Astn2"
"Slc8a3",4.75040846211616e-35,0.271875798748591,0.933,0.814,2.17416694494132e-30,"Slc8a3"
"Tfrc",8.91592747797549e-35,0.254649952639479,0.869,0.741,4.08064168811982e-30,"Tfrc"
"Spon1",1.07832876500949e-34,0.412222196093615,0.57,0.392,4.93529509169545e-30,"Spon1"
"Peg3",2.40989939791807e-34,0.2696252345835,0.984,0.954,1.10296275643914e-29,"Peg3"
"Atp8a2",2.72213848962813e-34,0.288333578814038,0.96,0.909,1.245868343933e-29,"Atp8a2"
"Myo6",2.85585239548496e-34,0.300093443090125,0.803,0.666,1.30706652436556e-29,"Myo6"
"Dusp1",4.25999678026313e-34,0.34281506451364,0.93,0.804,1.94971532639083e-29,"Dusp1"
"Zfp385b",5.57309127121705e-34,0.308252663731114,0.971,0.894,2.55069241301062e-29,"Zfp385b"
