"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Crtac1",1.68422479153683e-118,0.684398758189489,0.808,0.45,7.70836002590577e-114,"Crtac1"
"Mitf",9.50324383035288e-115,0.529246859468912,0.706,0.362,4.34944463627591e-110,"Mitf"
"Cntnap4",1.69255344394408e-114,1.11999818923673,0.897,0.669,7.74647860224325e-110,"Cntnap4"
"Nxph1",7.94337840610509e-114,0.856217323813218,0.982,0.628,3.63552542890618e-109,"Nxph1"
"Itpr1",1.50124744603815e-112,0.771571170898514,0.884,0.689,6.87090931102739e-108,"Itpr1"
"Mypn",3.40286172926826e-112,0.377518912951745,0.597,0.256,1.5574217562515e-107,"Mypn"
"Bcl2l11",1.80226845559297e-108,0.515738997894263,0.691,0.316,8.24862226755791e-104,"Bcl2l11"
"Fgf12",2.76903157478147e-108,0.747971320761314,0.995,0.986,1.26733037114598e-103,"Fgf12"
"Wipf3",3.4387593292696e-105,0.354211683267321,0.839,0.489,1.57385136982011e-100,"Wipf3"
"Scn1a",6.23728211760538e-104,0.660852791097841,0.992,0.973,2.85467927958563e-99,"Scn1a"
"Ppargc1a",4.28724739701204e-102,0.875940578577301,0.986,0.976,1.96218738866447e-97,"Ppargc1a"
"Flt3",1.05089674275981e-99,0.467967890615453,0.813,0.528,4.80974421226311e-95,"Flt3"
"Dlgap2",2.44692838794151e-99,0.685907016409381,0.991,0.973,1.11991018459307e-94,"Dlgap2"
"Tshz3",9.52789599954347e-98,0.480146544584998,0.918,0.638,4.36072744107106e-93,"Tshz3"
"Cntnap3",1.95120308105294e-97,0.5409774765521,0.875,0.56,8.93026626136308e-93,"Cntnap3"
"Inpp5j",1.28825694841334e-96,0.599925213788374,0.793,0.529,5.89609440149819e-92,"Inpp5j"
"Satb1",4.36600862728545e-96,0.576820227354682,0.975,0.787,1.998234828536e-91,"Satb1"
"Hcn1",1.19651702279201e-95,0.715646111613927,0.979,0.934,5.47621910991448e-91,"Hcn1"
"Dgki",2.32451555598227e-95,0.637527526337636,0.97,0.908,1.06388427966197e-90,"Dgki"
"Gpr125",3.37383562679852e-95,0.466712339713712,0.574,0.242,1.54413708967315e-90,"Gpr125"
"Mkx",4.94846098061016e-95,0.519860180106678,0.926,0.648,2.26481162160566e-90,"Mkx"
"Myo1e",6.91311011447788e-94,0.699600279672003,0.597,0.299,3.16399223719423e-89,"Myo1e"
"Kcnab3",1.66006306698256e-93,0.519609480220859,0.783,0.47,7.59777664496578e-89,"Kcnab3"
"Kcnab1",3.80012704280242e-93,0.620583468516172,0.934,0.785,1.73924214494981e-88,"Kcnab1"
"Rbfox1",8.03909385209125e-93,0.665879726744401,0.999,0.983,3.67933247422513e-88,"Rbfox1"
"Lhx6",1.89032044965555e-92,0.275877017543691,0.864,0.427,8.65161863398352e-88,"Lhx6"
"Gm13067",9.49100768535646e-92,0.34556714722457,0.497,0.193,4.34384439743394e-87,"Gm13067"
"Arl15",2.80067416212226e-91,0.627513517635046,0.96,0.883,1.28181255052011e-86,"Arl15"
"St5",3.37910485165613e-91,0.496504829193995,0.841,0.64,1.54654870850598e-86,"St5"
"Dock4",3.4026390947747e-91,1.35974917022058,0.959,0.9,1.55731986089648e-86,"Dock4"
"Bcan",5.38916894868555e-91,0.529449575499961,0.828,0.525,2.4665148444344e-86,"Bcan"
"Lpl",1.21789256579562e-90,0.318873068008812,0.347,0.067,5.57405069513342e-86,"Lpl"
"Prss23",4.50821349726423e-90,0.362389770792802,0.31,0.042,2.06331915342789e-85,"Prss23"
"Kcnma1",5.05890757028881e-90,0.610247568971267,0.994,0.981,2.31536081676978e-85,"Kcnma1"
"Prickle2",3.39809786681016e-88,0.59435899175581,0.965,0.865,1.55524143168167e-83,"Prickle2"
"Esrrg",1.04494869365271e-87,0.98276912715194,0.877,0.708,4.78252118110971e-83,"Esrrg"
"Frmpd1",4.06980815134959e-86,0.444477068520648,0.61,0.309,1.86266979470968e-81,"Frmpd1"
"Phlda1",8.10009853368268e-86,0.33098068567269,0.778,0.516,3.70725309689589e-81,"Phlda1"
"Syt2",9.6489264113002e-86,0.498250551199897,0.472,0.182,4.41612063992388e-81,"Syt2"
"Etv6",3.4226364602142e-85,0.586212465703309,0.818,0.588,1.56647225511083e-80,"Etv6"
"Slc35f3",2.83310742455757e-84,0.575912746864642,0.842,0.609,1.29665660607151e-79,"Slc35f3"
"Sox6",4.3690873064442e-84,0.5066490942355,0.939,0.618,1.99964387841338e-79,"Sox6"
"Prkacb",1.05024286005369e-83,0.552696669648409,0.985,0.905,4.80675152189372e-79,"Prkacb"
"Kcnip2",1.81128823176792e-83,0.558956548613447,0.791,0.533,8.28990397915541e-79,"Kcnip2"
"Pkp4",7.08893703181566e-82,0.588155758913492,0.973,0.93,3.24446470072139e-77,"Pkp4"
"Arhgef6",1.21641139650389e-81,0.405277339530458,0.729,0.424,5.56727167951899e-77,"Arhgef6"
"Ank1",2.20964702933677e-81,0.474831573822939,0.96,0.839,1.01131125238685e-76,"Ank1"
"St6galnac5",2.53103332473434e-81,0.736662565631607,0.717,0.417,1.15840333206441e-76,"St6galnac5"
"Arhgap18",3.25744307711547e-81,0.612297772909156,0.881,0.71,1.49086654753421e-76,"Arhgap18"
"Stard9",6.05886567893378e-81,0.369395769374789,0.686,0.414,2.77302164393441e-76,"Stard9"
"Slc24a2",1.52023152370831e-80,0.572237765657513,0.993,0.953,6.9577956377082e-76,"Slc24a2"
"Kcnc1",5.42165660279456e-80,0.711193943670207,0.989,0.956,2.48138379396701e-75,"Kcnc1"
"Mef2c",8.31739544836017e-80,0.63578935034683,0.984,0.967,3.80670554880548e-75,"Mef2c"
"Tm6sf1",1.42501207791125e-79,0.444932441470301,0.901,0.712,6.52199527818423e-75,"Tm6sf1"
"Adamts1",1.16989673962927e-78,0.346825552255167,0.456,0.148,5.35438339793525e-74,"Adamts1"
"Gria4",6.87932450799365e-78,0.636363737377429,0.993,0.977,3.14852924081854e-73,"Gria4"
"Kcnk3",4.68430203168956e-77,0.272610040880158,0.849,0.577,2.14391135386368e-72,"Kcnk3"
"Zswim6",4.07773016769145e-76,0.527521842749171,0.943,0.849,1.86629554314902e-71,"Zswim6"
"Ptprm",5.47090169866879e-76,0.569264601042319,0.963,0.723,2.50392228944673e-71,"Ptprm"
"Kcna1",1.21691753261586e-75,0.528135155298656,0.905,0.698,5.56958816327625e-71,"Kcna1"
"Gm35736",1.56522337356706e-75,0.257287052717033,0.778,0.408,7.1637143361417e-71,"Gm35736"
"Cep83",2.12684581602816e-74,0.425950666576068,0.917,0.764,9.73414793079767e-70,"Cep83"
"1190002N15Rik",5.15504096997614e-74,0.388802825132322,0.655,0.349,2.35935915113868e-69,"1190002N15Rik"
"Elavl2",4.09705722204621e-73,0.553534150773722,0.98,0.878,1.87514114938611e-68,"Elavl2"
"Chchd3",1.76777034087811e-72,0.526686601065415,0.956,0.874,8.09073129613093e-68,"Chchd3"
"Il1rapl1",2.20699054866862e-72,0.715342485433259,1,0.997,1.01009543431465e-67,"Il1rapl1"
"Sytl2",2.98048221842582e-72,0.375912334590959,0.732,0.439,1.36410710172913e-67,"Sytl2"
"Gm34199",5.20927691115986e-72,0.413112017969033,0.831,0.54,2.38418185669965e-67,"Gm34199"
"Ndst3",6.96382136911726e-72,0.839930164776979,0.589,0.326,3.18720176421759e-67,"Ndst3"
"Ccdc136",9.57864274142125e-72,0.429293567830553,0.978,0.906,4.38395320989368e-67,"Ccdc136"
"Pacsin2",1.18934525386773e-71,0.481912430263426,0.93,0.792,5.44339535790181e-67,"Pacsin2"
"Sox5",3.10644915788562e-71,1.03914837082799,0.794,0.611,1.42175965058109e-66,"Sox5"
"Cap2",6.27101556909075e-71,0.375060721667691,0.947,0.752,2.87011840566145e-66,"Cap2"
"Cplx1",1.34536816483173e-70,0.684331131455054,0.989,0.934,6.15748101680188e-66,"Cplx1"
"Tgfb3",1.6740234061421e-70,0.28714485993449,0.627,0.321,7.66167032523117e-66,"Tgfb3"
"Unc5d",1.09484809551467e-69,0.438727477815846,0.841,0.622,5.01090076355153e-65,"Unc5d"
"Grm5",1.27821438513572e-69,0.585836049987747,0.982,0.947,5.85013159788918e-65,"Grm5"
"2610100L16Rik",3.09840272588719e-69,0.390657654415325,0.877,0.664,1.41807695958405e-64,"2610100L16Rik"
"Plcxd3",9.71787500447392e-69,0.670636942728569,0.965,0.952,4.44767703204762e-64,"Plcxd3"
"Myo5b",1.53965962427616e-68,0.315945402952613,0.524,0.266,7.04671416838712e-64,"Myo5b"
"Ephx4",4.54084822047476e-68,0.274763243455705,0.824,0.506,2.07825541354689e-63,"Ephx4"
"Rtn4rl1",8.34457115561708e-68,0.341018370914598,0.747,0.484,3.81914332650283e-63,"Rtn4rl1"
"Adrbk2",1.66535177835587e-67,0.439080244685852,0.945,0.825,7.62198201917916e-63,"Adrbk2"
"Htr2a",2.8448243279921e-67,0.291454302571261,0.561,0.259,1.30201919843543e-62,"Htr2a"
"Ppp2r2b",6.27100356122862e-67,0.476312488386272,0.988,0.968,2.87011290990312e-62,"Ppp2r2b"
"Fmn1",1.08119264697616e-66,0.540939837097439,0.917,0.79,4.94840250668049e-62,"Fmn1"
"Mtcl1",1.32101031488026e-66,0.401203737820238,0.951,0.792,6.04600000914397e-62,"Mtcl1"
"Moxd1",1.83627768823318e-66,0.668829904900383,0.502,0.228,8.40427572350563e-62,"Moxd1"
"Igsf11",1.8393671897321e-66,0.394059518029198,0.651,0.384,8.41841575396589e-62,"Igsf11"
"9630002D21Rik",2.83777587764771e-66,0.501026655365586,0.643,0.351,1.2987932636818e-61,"9630002D21Rik"
"Tac1",3.81656538154156e-66,0.750496385176843,0.228,0.028,1.74676564382394e-61,"Tac1"
"Klf12",4.52413832924722e-66,0.580848330377069,0.971,0.941,2.07060763052987e-61,"Klf12"
"Rbms1",6.21569282827333e-66,0.33139969475864,0.815,0.55,2.84479829364414e-61,"Rbms1"
"Mgat4c",1.31804254559947e-65,0.4744697730172,0.95,0.837,6.03241712269966e-61,"Mgat4c"
"Far2",1.65871233613946e-65,0.415308784521798,0.922,0.761,7.59159462004308e-61,"Far2"
"Msrb3",1.86569136923299e-65,0.263490388491863,0.68,0.407,8.53889625870555e-61,"Msrb3"
"Rims4",2.23107190215837e-65,0.268393897921074,0.894,0.664,1.02111698817984e-60,"Rims4"
"Ephb6",3.32204611082931e-65,0.345755869044419,0.783,0.481,1.52043406400436e-60,"Ephb6"
"Strbp",7.05947939997737e-65,0.404437040862587,0.995,0.981,3.23098253178164e-60,"Strbp"
"Mpped2",1.50832703605352e-64,0.364267741165219,0.842,0.584,6.90331117860973e-60,"Mpped2"
"Nebl",2.3793257417738e-64,0.500117116606424,0.978,0.946,1.08896980549503e-59,"Nebl"
"Tox3",2.62578753148829e-64,0.409350857782772,0.832,0.53,1.20177043741156e-59,"Tox3"
"Atrnl1",6.1973469128369e-64,0.68787299635207,0.963,0.922,2.83640173506719e-59,"Atrnl1"
"Col19a1",8.66968003403997e-64,0.501816101473185,0.939,0.762,3.96793915797941e-59,"Col19a1"
"Gpr83",5.06837157812471e-63,0.406380284760451,0.543,0.262,2.31969230387612e-58,"Gpr83"
"Sema3a",1.33146363991364e-62,0.466577897535721,0.744,0.494,6.09384278715673e-58,"Sema3a"
"Afap1",1.55354075036363e-62,0.389988320215651,0.951,0.831,7.11024530626424e-58,"Afap1"
"Rnf144b",2.27653581442105e-62,0.292893513834777,0.77,0.538,1.04192491154423e-57,"Rnf144b"
"Cpeb3",2.68201924883706e-62,0.52174272972538,0.984,0.962,1.22750656980775e-57,"Cpeb3"
"Manba",2.72959398287505e-62,0.3371223991532,0.787,0.54,1.24928057408225e-57,"Manba"
"Cacna1a",4.38972242173296e-62,0.498565748909153,0.98,0.923,2.00908815797874e-57,"Cacna1a"
"Serpini1",4.43402650353844e-62,0.576118542962606,0.978,0.886,2.02936525013947e-57,"Serpini1"
"Usp25",5.08040470635034e-62,0.415865236066143,0.907,0.766,2.32519962600242e-57,"Usp25"
"Cntnap5a",8.74968444753405e-62,0.587880044094622,0.982,0.954,4.00455557794738e-57,"Cntnap5a"
"Hunk",1.24375652509699e-61,0.389253710126645,0.823,0.602,5.6924248640639e-57,"Hunk"
"A930029G22Rik",1.66085268684284e-61,0.266349451184128,0.659,0.39,7.60139057714231e-57,"A930029G22Rik"
"Scn9a",1.15275985907842e-60,0.271441134701875,0.722,0.462,5.27595132303012e-56,"Scn9a"
"Tenm4",2.03872909287214e-60,0.474731080423602,0.976,0.905,9.3308553122572e-56,"Tenm4"
"Adamts6",2.54038158959112e-60,0.344813292131856,0.779,0.591,1.16268184592407e-55,"Adamts6"
"Ttll5",2.75736902393242e-59,0.428549426760164,0.93,0.814,1.26199265487339e-54,"Ttll5"
"Sfxn5",3.7343672541953e-59,0.305212525491062,0.916,0.739,1.7091452049001e-54,"Sfxn5"
"St8sia1",1.49422075296056e-58,0.283030600755564,0.826,0.6,6.83874954214989e-54,"St8sia1"
"Rcan2",1.90383216794616e-58,0.441594609534282,0.992,0.935,8.71345906625597e-54,"Rcan2"
"Kcnh7",2.40754457178281e-58,0.810706473575466,0.967,0.915,1.10188499961356e-53,"Kcnh7"
"Cers6",2.46356063805532e-58,0.46080463509558,0.969,0.83,1.12752243282516e-53,"Cers6"
"Neto2",6.070538251993e-58,0.450390781345534,0.882,0.63,2.77836394717216e-53,"Neto2"
"Sepn1",7.68474680766017e-58,0.276930697301029,0.742,0.476,3.51715491892991e-53,"Sepn1"
"Cyp46a1",2.42089100766002e-57,0.353783063476332,0.97,0.843,1.10799339638584e-52,"Cyp46a1"
"Lgi3",6.45110766496861e-57,0.280304098824073,0.79,0.534,2.95254295610283e-52,"Lgi3"
"Cds1",1.00910414343767e-56,0.298491106378882,0.903,0.689,4.61846784368552e-52,"Cds1"
"Samd5",3.31808768890156e-56,0.315508213117128,0.892,0.586,1.51862237345647e-51,"Samd5"
"Man2a2",4.34297595495545e-56,0.33942139592639,0.963,0.846,1.98769323506401e-51,"Man2a2"
"Hapln4",1.11078570283119e-55,0.351433969741011,0.651,0.4,5.08384400471778e-51,"Hapln4"
"Kcnt1",1.25003391680528e-55,0.283751167953963,0.924,0.708,5.72115523043439e-51,"Kcnt1"
"Lpp",1.32703877245525e-55,0.434474452360399,0.884,0.742,6.07359105377318e-51,"Lpp"
"Enox1",1.53800699822651e-55,0.563646425757196,0.992,0.977,7.03915042948311e-51,"Enox1"
"Akr1c18",2.615249151954e-55,0.302257672857883,0.252,0.054,1.19694723186631e-50,"Akr1c18"
"Fam13c",3.9721607485802e-55,0.341622207230647,0.948,0.823,1.81797853141018e-50,"Fam13c"
"Slc30a3",7.37670866028845e-55,0.291323489308602,0.853,0.586,3.37617201964082e-50,"Slc30a3"
"Dlgap1",9.09450949138925e-55,0.456360099869636,1,0.996,4.16237510401903e-50,"Dlgap1"
"Dok5",1.67109213872005e-54,0.25518837356313,0.794,0.578,7.6482545004939e-50,"Dok5"
"Htr1f",2.88314936702205e-54,0.327660001871111,0.689,0.491,1.31955980229865e-49,"Htr1f"
"Trps1",5.58939744495511e-54,0.890922033669573,0.74,0.57,2.55815542260705e-49,"Trps1"
"Csrnp3",6.21824521787573e-54,0.435020585340765,0.978,0.924,2.84596647131736e-49,"Csrnp3"
"Arid5b",6.62867857728038e-54,0.370692174509813,0.909,0.738,3.03381361124969e-49,"Arid5b"
"Scn1b",6.63759649084663e-54,0.266225836322483,0.975,0.908,3.03789516193068e-49,"Scn1b"
"Pip5kl1",6.99035588866353e-54,0.257350487180738,0.623,0.361,3.19934608312352e-49,"Pip5kl1"
"Tenm2",1.00100512550667e-53,0.604338679465944,0.992,0.979,4.58140025841892e-49,"Tenm2"
"Prkca",1.54540202762698e-53,0.338183352103621,0.933,0.85,7.07299600004314e-49,"Prkca"
"1700086L19Rik",2.26709833075224e-53,0.280440230118443,0.903,0.641,1.03760556401868e-48,"1700086L19Rik"
"Prkg1",3.45827491453768e-53,0.505729858488003,0.953,0.88,1.58278326288561e-48,"Prkg1"
"Mroh1",5.06688927271643e-53,0.348733530186674,0.932,0.828,2.31901388233686e-48,"Mroh1"
"Rarb",6.18378724971506e-53,0.382134407893396,0.796,0.63,2.83019574844959e-48,"Rarb"
"Specc1",8.14499455659776e-53,0.407817290601464,0.935,0.849,3.72780110866366e-48,"Specc1"
"Pnkd",8.41165021114673e-53,0.361665107202367,0.948,0.864,3.84984406863763e-48,"Pnkd"
"Arhgap5",1.37534990244721e-52,0.403989769506025,0.974,0.932,6.29470143352038e-48,"Arhgap5"
"Gm30340",3.38940782530746e-52,0.275256105986677,0.702,0.514,1.55126417348672e-47,"Gm30340"
"Fut9",4.44884039359451e-52,0.368520123797776,0.95,0.824,2.03614527134034e-47,"Fut9"
"Epb4.1l3",5.51311688190131e-52,0.383316666433289,0.976,0.912,2.52324333450859e-47,"Epb4.1l3"
"Sept4",5.68385916993181e-52,0.425553742521124,0.852,0.692,2.60138866489439e-47,"Sept4"
"St3gal6",1.53587801275174e-51,0.307885294440114,0.657,0.421,7.02940648876216e-47,"St3gal6"
"Chn2",1.87906558179147e-51,0.261249199747776,0.674,0.406,8.6001073547432e-47,"Chn2"
"Lmo3",1.9677461510392e-51,0.364013599198453,0.646,0.415,9.00598058407622e-47,"Lmo3"
"Nefh",2.98153504445144e-51,0.290184040116146,0.706,0.468,1.36458895914453e-46,"Nefh"
"Gabrg3",3.60246899424983e-51,0.734207274664325,0.947,0.886,1.64877800928826e-46,"Gabrg3"
"Klhl32",4.99200374683233e-51,0.392524508560212,0.949,0.843,2.28474027485022e-46,"Klhl32"
"Pcdh9",1.63533556736706e-50,0.570754539665028,0.994,0.978,7.48460382472557e-46,"Pcdh9"
"Sash1",1.77857919885283e-50,0.291981070834244,0.93,0.713,8.14020127730962e-46,"Sash1"
"Ttc39b",4.55411123582437e-50,0.420207874233031,0.848,0.694,2.0843256304121e-45,"Ttc39b"
"Sptb",5.34155465924897e-50,0.267873592539703,0.919,0.742,2.44472273644507e-45,"Sptb"
"Man1a2",2.07141633147936e-49,0.383168923631876,0.954,0.894,9.48045826591472e-45,"Man1a2"
"Dock9",2.30363319920537e-49,0.320523699163928,0.951,0.823,1.05432684261232e-44,"Dock9"
"LOC102633497",3.20435528994679e-49,0.336334484986407,0.872,0.66,1.46656932910285e-44,"LOC102633497"
"Kcnmb2",4.65289099203997e-49,0.539815200237157,0.923,0.805,2.12953514923685e-44,"Kcnmb2"
"Pak6",8.29751199767781e-49,0.29259711743387,0.898,0.756,3.79760529109718e-44,"Pak6"
"Zfyve9",1.02479928366017e-48,0.333294241532793,0.95,0.875,4.69030136145587e-44,"Zfyve9"
"Mical3",1.46153436783095e-48,0.367508386683135,0.961,0.896,6.6891504946887e-44,"Mical3"
"Celf2",1.60786769131062e-48,0.378185200780408,0.999,0.995,7.35888884959046e-44,"Celf2"
"Cntnap5c",1.65969835956654e-48,0.850316379254721,0.899,0.816,7.59610745206414e-44,"Cntnap5c"
"Sorbs2",2.81902275363608e-48,0.407854849751144,0.952,0.89,1.29021033388416e-43,"Sorbs2"
"Prickle1",4.1801169866567e-48,0.390570195020906,0.959,0.909,1.91315594245304e-43,"Prickle1"
"N28178",5.5154244160872e-48,0.296763471583488,0.936,0.759,2.52429944675479e-43,"N28178"
"Rbp4",6.95955562049483e-48,0.492511903999288,0.766,0.509,3.18524941638807e-43,"Rbp4"
"Plxnc1",1.21628516255923e-47,0.323112016156863,0.871,0.69,5.56669393200108e-43,"Plxnc1"
"Fam73b",1.37290363854963e-47,0.330431087688854,0.842,0.649,6.28350537291393e-43,"Fam73b"
"Exoc4",2.69112631036857e-47,0.407891185830133,0.976,0.959,1.23167468972949e-42,"Exoc4"
"Clip4",3.13338271138451e-47,0.296811543153639,0.902,0.764,1.43408659934646e-42,"Clip4"
"Gria3",3.18864246671362e-47,0.440908396430732,0.957,0.84,1.45937788416549e-42,"Gria3"
"Dip2a",3.62962891358294e-47,0.277859315126825,0.924,0.798,1.66120856116864e-42,"Dip2a"
"Tle4",4.55071723956215e-47,0.304280225381472,0.952,0.885,2.0827722662028e-42,"Tle4"
"Nav1",5.53380270484734e-47,0.353248113268085,0.984,0.963,2.53271082195453e-42,"Nav1"
"Snph",1.27446055180328e-46,0.373830078228302,0.961,0.912,5.83295105349323e-42,"Snph"
"Kcna2",1.74726408221855e-46,0.331307590256846,0.945,0.824,7.99687825149788e-42,"Kcna2"
"Plxdc2",1.75701808608548e-46,0.457686411171471,0.884,0.777,8.04152037639604e-42,"Plxdc2"
"Jmjd1c",1.89731906487736e-46,0.404419345722149,0.975,0.963,8.68364989613069e-42,"Jmjd1c"
"Sh3kbp1",2.01440977540511e-46,0.342140743236733,0.956,0.842,9.2195506600741e-42,"Sh3kbp1"
"Slc25a3",3.04324269786818e-46,0.347977264725936,1,0.984,1.39283131796031e-41,"Slc25a3"
"Osbpl1a",3.19105770269688e-46,0.312865482130833,0.96,0.857,1.46048328937031e-41,"Osbpl1a"
"Wbp1l",3.58243379533295e-46,0.263519469660693,0.766,0.584,1.63960829944798e-41,"Wbp1l"
"Arap2",5.66069481438936e-46,0.407910592196509,0.794,0.611,2.59078680264972e-41,"Arap2"
"Gabra4",7.37246652316072e-46,0.401537552904652,0.804,0.628,3.3742304783202e-41,"Gabra4"
"Vamp1",9.35461151337356e-46,0.300419561092499,0.707,0.484,4.28141859744081e-41,"Vamp1"
"Dusp14",9.45655146161377e-46,0.295140728236029,0.796,0.55,4.32807447295139e-41,"Dusp14"
"Clec16a",1.6062012238835e-45,0.311423108395416,0.96,0.888,7.35126176147001e-41,"Clec16a"
"Kcnq3",1.76301484617447e-45,0.412910472122653,0.961,0.895,8.06896634797131e-41,"Kcnq3"
"Mical2",2.43501890297922e-45,0.371239989061212,0.978,0.906,1.11445945151553e-40,"Mical2"
"Tbc1d9",5.91402495858764e-45,0.339979235490548,0.963,0.904,2.70673094304639e-40,"Tbc1d9"
"Trio",9.63525085705941e-45,0.380091592466385,0.973,0.947,4.40986161225895e-40,"Trio"
"Pvt1",1.02232498082555e-44,0.284805354331749,0.916,0.773,4.67897697224238e-40,"Pvt1"
"Mctp1",1.37712110821499e-44,0.42944974160001,0.933,0.827,6.30280788807835e-40,"Mctp1"
"Got1",1.46159499031549e-44,0.430791670698898,0.978,0.916,6.68942795167594e-40,"Got1"
"Rab3b",2.12813692114172e-44,0.363711152056323,0.966,0.78,9.74005706068143e-40,"Rab3b"
"Fam134b",2.33084855721858e-44,0.347258780871151,0.907,0.767,1.0667827676678e-39,"Fam134b"
"Stambpl1",3.11544191788438e-44,0.285292394203492,0.881,0.736,1.42587545697732e-39,"Stambpl1"
"Sh3rf3",5.91445385699796e-44,0.47913368314274,0.975,0.946,2.70692724127083e-39,"Sh3rf3"
"Gm4258",7.42908133019512e-44,0.256603330187796,0.868,0.645,3.4001419432037e-39,"Gm4258"
"Scn8a",1.65945402676304e-43,0.332075652444598,0.986,0.965,7.59498918968906e-39,"Scn8a"
"Nos1ap",1.7274886368334e-43,0.367383055921508,0.928,0.81,7.90636999305909e-39,"Nos1ap"
"Ntm",1.96582955566912e-43,0.360414276709923,1,0.993,8.99720871038642e-39,"Ntm"
"Ttll11",2.72093075168975e-43,0.323218942693784,0.951,0.878,1.24531558643336e-38,"Ttll11"
"Dusp1",6.09253567475299e-43,0.443067442602841,0.93,0.787,2.78843172762095e-38,"Dusp1"
"Magi2",6.50833406083054e-43,0.39080748428928,0.995,0.994,2.97873433296092e-38,"Magi2"
"Grm3",1.1906903187392e-42,0.303438210217284,0.802,0.61,5.44955145080559e-38,"Grm3"
"Ica1",1.70767341240178e-42,0.321882037440272,0.996,0.982,7.81567967388046e-38,"Ica1"
"Tmem178",1.78503239795012e-42,0.287389039956149,0.929,0.787,8.16973627893809e-38,"Tmem178"
"Opcml",1.88335527948803e-42,0.511467591696991,0.986,0.959,8.61974044316082e-38,"Opcml"
"Pnpo",3.31905002780151e-42,0.254912364770994,0.67,0.438,1.5190628167242e-37,"Pnpo"
"Gpcpd1",3.97024716473064e-42,0.421488797852206,0.932,0.846,1.81710272235392e-37,"Gpcpd1"
"Luzp1",1.21526299718818e-41,0.344945301343112,0.958,0.909,5.56201568553085e-37,"Luzp1"
"Adcy1",1.56382906513386e-41,0.250127204249883,0.95,0.779,7.15733286530467e-37,"Adcy1"
"Sipa1l2",1.88566224755919e-41,0.264558394960465,0.856,0.668,8.63029897462892e-37,"Sipa1l2"
"Atp8b2",2.021429468e-41,0.298985856483593,0.873,0.721,9.25167838914238e-37,"Atp8b2"
"Laptm4b",2.58101508087358e-41,0.311724778264465,0.942,0.803,1.18127898221422e-36,"Laptm4b"
"Luzp2",3.21117871041378e-41,0.744850435188878,0.894,0.828,1.46969227218218e-36,"Luzp2"
"Mmp16",6.62142232475759e-41,0.363565202057164,0.958,0.868,3.03049256959506e-36,"Mmp16"
"Sparcl1",7.72254257066996e-41,0.419858246504207,0.993,0.962,3.53445328374423e-36,"Sparcl1"
