"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Slit2",2.15539260705145e-221,1.65672909794286,0.826,0.435,9.86480088395309e-217,"Slit2"
"Fam135b",2.72783450589858e-198,1.20055421729605,0.965,0.748,1.24847529665966e-193,"Fam135b"
"Kcnc2",1.60495134161146e-182,1.25322171943053,0.988,0.913,7.34554130028732e-178,"Kcnc2"
"Plch2",4.31616175427743e-181,0.551917732226151,0.837,0.386,1.97542091169769e-176,"Plch2"
"Coro6",8.64492472636691e-174,0.656277451977111,0.889,0.467,3.95660914876361e-169,"Coro6"
"Man1c1",2.28642241859682e-169,0.855651162448986,0.922,0.69,1.04644981254339e-164,"Man1c1"
"Tmem44",2.40339125106867e-169,0.774739447460327,0.938,0.553,1.09998410778911e-164,"Tmem44"
"Cacna2d2",4.95886327017878e-167,0.471822624332728,0.91,0.484,2.26957254149542e-162,"Cacna2d2"
"Me3",3.73395936468902e-156,1.01728373105062,0.965,0.797,1.70895852203087e-151,"Me3"
"Rapgef5",1.48237732730344e-154,0.787340296685903,0.881,0.544,6.78454455160241e-150,"Rapgef5"
"Nek7",1.85711196646733e-153,1.03795889445733,0.946,0.799,8.49963004812766e-149,"Nek7"
"Pvalb",1.05056257865833e-148,0.936883968970979,0.587,0.18,4.80821481000345e-144,"Pvalb"
"Tmem132d",3.06437553770306e-148,1.06199328561059,0.926,0.744,1.40250339609594e-143,"Tmem132d"
"Oprd1",1.03913676678659e-143,0.39401564483739,0.733,0.294,4.75592115422887e-139,"Oprd1"
"Iqgap2",1.22707857178232e-137,0.996050092099726,0.862,0.554,5.61609320733333e-133,"Iqgap2"
"Runx2",5.49104738076069e-137,0.848302333944585,0.883,0.632,2.51314256522655e-132,"Runx2"
"Kcns3",6.56983032826426e-132,0.529656269526412,0.753,0.361,3.00687994463999e-127,"Kcns3"
"Tnr",6.84050016524341e-132,0.842600714389885,0.961,0.788,3.1307601156286e-127,"Tnr"
"Cemip",4.2666590979801e-131,1.0717497081249,0.604,0.231,1.95276453596353e-126,"Cemip"
"Epb4.1",2.31122059270982e-130,0.574434544918004,0.834,0.493,1.05779944087143e-125,"Epb4.1"
"Gm13629",3.60624709188913e-128,0.664552977256881,0.774,0.447,1.65050716901582e-123,"Gm13629"
"Tmem132c",1.33846789013124e-124,0.743368096967872,0.743,0.391,6.12589983955265e-120,"Tmem132c"
"Gabrd",5.47036392395104e-123,0.776937764734005,0.717,0.374,2.50367616071391e-118,"Gabrd"
"Kctd8",5.73754321329133e-123,0.68780508840575,0.923,0.57,2.62595877785918e-118,"Kctd8"
"Eya4",4.33212969498053e-122,0.980526507347949,0.731,0.408,1.98272911879869e-117,"Eya4"
