,0
AP_halfwidth,0.0
Down_width,0.02176165803108815
UpDown_width,0.012435233160621806
Width,0.0041450777202072684
Heigth,0.0010362694300518171
ΔV_deep,0.012435233160621806
ΔV_ratio,0.1590673575129534
Slope_deep,0.005699481865285005
ΔV_thrp,0.013989637305699531
UpDown_ratio,0.005181347150259086
