"","V2","AP_median","fi_median","ISI_median","T_v","T_I"
"1","EC0",210.999999999739,0.444017879742994,34.4401050420168,-29.315626,195.083335
"2","EC1",233.333333333419,0.258620691667979,55.3336397058823,-36.268751,61.9375
"3","EC2",296.666666666834,0.21,67.26,-31.5625,154.1875
